Gene,Gene Name,log_2 fold change,Adjusted p-value
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000102053"" target=""_blank"">ENSG00000102053</a>",ZC3H12B,16.4,0.0016570612774961
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164970"" target=""_blank"">ENSG00000164970</a>",FAM219A,16.2,0.0073290645130175
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000155100"" target=""_blank"">ENSG00000155100</a>",OTUD6B,16.1,0.0015999946619952138
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000105388"" target=""_blank"">ENSG00000105388</a>",CEACAM5,16.0,1.0028959606414251e-09
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000120093"" target=""_blank"">ENSG00000120093</a>",HOXB3,15.7,0.0004424507415761
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000089472"" target=""_blank"">ENSG00000089472</a>",HEPH,15.2,1.4767003435917365e-08
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000170956"" target=""_blank"">ENSG00000170956</a>",CEACAM3,15.100000000000001,0.00022781968834040001
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000113356"" target=""_blank"">ENSG00000113356</a>",POLR3G,15.0,0.0208239382928909
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000197635"" target=""_blank"">ENSG00000197635</a>",DPP4,14.8,0.0438041365104507
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000033327"" target=""_blank"">ENSG00000033327</a>",GAB2,14.5,0.000953811170623
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000233621"" target=""_blank"">ENSG00000233621</a>",LITATS1,14.4,0.0043058276123626
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000180801"" target=""_blank"">ENSG00000180801</a>",ARSJ,14.3,0.0045683317616308
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000026025"" target=""_blank"">ENSG00000026025</a>",VIM,14.0,2.4719854869290196e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000213366"" target=""_blank"">ENSG00000213366</a>",GSTM2,13.8,0.0101893035538875
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000281332"" target=""_blank"">ENSG00000281332</a>",LINC00997,13.7,0.0545119927815638
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000086548"" target=""_blank"">ENSG00000086548</a>",CEACAM6,13.3,1.623172507822525e-08
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000184292"" target=""_blank"">ENSG00000184292</a>",TACSTD2,13.1,0.001297696435023373
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000079112"" target=""_blank"">ENSG00000079112</a>",CDH17,13.1,7.044442315149423e-09
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000196188"" target=""_blank"">ENSG00000196188</a>",CTSE,12.9,6.612872325376918e-09
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000103460"" target=""_blank"">ENSG00000103460</a>",TOX3,12.899999999999999,0.009597249890553336
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000115457"" target=""_blank"">ENSG00000115457</a>",IGFBP2,12.8,4.582243487600877e-09
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000128591"" target=""_blank"">ENSG00000128591</a>",FLNC,12.8,4.93964350575664e-98
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000239713"" target=""_blank"">ENSG00000239713</a>",APOBEC3G,12.3,4.5159621635948196e-82
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000101842"" target=""_blank"">ENSG00000101842</a>",VSIG1,11.3,4.953388031881166e-68
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000124789"" target=""_blank"">ENSG00000124789</a>",NUP153,11.3,0.0019271594952455
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000128422"" target=""_blank"">ENSG00000128422</a>",KRT17,11.1,3.4937609489737425e-23
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000165819"" target=""_blank"">ENSG00000165819</a>",METTL3,10.3,1.6354853327e-06
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000186603"" target=""_blank"">ENSG00000186603</a>",HPDL,10.3,3.75269960734227e-07
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000232956"" target=""_blank"">ENSG00000232956</a>",SNHG15,10.2,5.95733951584425e-07
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000142528"" target=""_blank"">ENSG00000142528</a>",ZNF473,10.0,1.75260093213921e-07
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000103316"" target=""_blank"">ENSG00000103316</a>",CRYM,10.0,1.6354853327e-06
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000163006"" target=""_blank"">ENSG00000163006</a>",CCDC138,10.0,2.90036268132508e-07
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000163026"" target=""_blank"">ENSG00000163026</a>",WDCP,9.7,9.8669297616e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000203499"" target=""_blank"">ENSG00000203499</a>",IQANK1,9.7,2.0937645239e-06
